Nombre_de_points
63
Coordonnees_des_points
  1 -3.1415927e+000 -1.2246468e-016
  2 -3.0415927e+000 -9.9833417e-002
  3 -2.9415927e+000 -1.9866933e-001
  4 -2.8415927e+000 -2.9552021e-001
  5 -2.7415927e+000 -3.8941834e-001
  6 -2.6415927e+000 -4.7942554e-001
  7 -2.5415927e+000 -5.6464247e-001
  8 -2.4415927e+000 -6.4421769e-001
  9 -2.3415927e+000 -7.1735609e-001
  10 -2.2415927e+000 -7.8332691e-001
  11 -2.1415927e+000 -8.4147098e-001
  12 -2.0415927e+000 -8.9120736e-001
  13 -1.9415927e+000 -9.3203909e-001
  14 -1.8415927e+000 -9.6355819e-001
  15 -1.7415927e+000 -9.8544973e-001
  16 -1.6415927e+000 -9.9749499e-001
  17 -1.5415927e+000 -9.9957360e-001
  18 -1.4415927e+000 -9.9166481e-001
  19 -1.3415927e+000 -9.7384763e-001
  20 -1.2415927e+000 -9.4630009e-001
  21 -1.1415927e+000 -9.0929743e-001
  22 -1.0415927e+000 -8.6320937e-001
  23 -9.4159265e-001 -8.0849640e-001
  24 -8.4159265e-001 -7.4570521e-001
  25 -7.4159265e-001 -6.7546318e-001
  26 -6.4159265e-001 -5.9847214e-001
  27 -5.4159265e-001 -5.1550137e-001
  28 -4.4159265e-001 -4.2737988e-001
  29 -3.4159265e-001 -3.3498815e-001
  30 -2.4159265e-001 -2.3924933e-001
  31 -1.4159265e-001 -1.4112001e-001
  32 -4.1592654e-002 -4.1580662e-002
  33  5.8407346e-002  5.8374143e-002
  34  1.5840735e-001  1.5774569e-001
  35  2.5840735e-001  2.5554110e-001
  36  3.5840735e-001  3.5078323e-001
  37  4.5840735e-001  4.4252044e-001
  38  5.5840735e-001  5.2983614e-001
  39  6.5840735e-001  6.1185789e-001
  40  7.5840735e-001  6.8776616e-001
  41  8.5840735e-001  7.5680250e-001
  42  9.5840735e-001  8.1827711e-001
  43  1.0584073e+000  8.7157577e-001
  44  1.1584073e+000  9.1616594e-001
  45  1.2584073e+000  9.5160207e-001
  46  1.3584073e+000  9.7753012e-001
  47  1.4584073e+000  9.9369100e-001
  48  1.5584073e+000  9.9992326e-001
  49  1.6584073e+000  9.9616461e-001
  50  1.7584073e+000  9.8245261e-001
  51  1.8584073e+000  9.5892427e-001
  52  1.9584073e+000  9.2581468e-001
  53  2.0584073e+000  8.8345466e-001
  54  2.1584073e+000  8.3226744e-001
  55  2.2584073e+000  7.7276449e-001
  56  2.3584073e+000  7.0554033e-001
  57  2.4584073e+000  6.3126664e-001
  58  2.5584073e+000  5.5068554e-001
  59  2.6584073e+000  4.6460218e-001
  60  2.7584073e+000  3.7387666e-001
  61  2.8584073e+000  2.7941550e-001
  62  2.9584073e+000  1.8216250e-001
  63  3.0584073e+000  8.3089403e-002
   
